id,exhibitor_id,company_name,hall,nivel,stand,city,cities,category,product,website,logo_url,econexia_url,description_es,status,source
gsi-2026-06-244,816132,CONSTRUCTORA SORIANO,06,01,244,ARMENIA,eje_cafetero,,,http://www.constructorasoriano.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=55492,,"En Constructora Soriano, creemos que cada ladrillo cuenta una historia, y cada proyecto es una oportunidad para transformar vidas. Desde 1997 hemos hecho parte del crecimiento y desarrollo del Eje Cafetero, no solo construyendo edificaciones, sino creando lugares donde las personas puedan vivir, crecer y soñar.",captured,catalog
gsi-2026-06-248,812520,CPI LOS PUEBLOS,06,01,248,MEDELLIN,medellin,,"Se exhibirá en gran medida el proyecto PUEBLO PANACA, proyecto turístico inmobiliario que hace parte del PROYECTO TURISTICO ESPECIAL TERRITORIO PANACA (Primer PTE de COLOMBIA), además, de los proyectos que se tienen en Caldas y Antioquia.",http://www.pueblopanca.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=53243,,"Constructora y Promotora Inmobiliaria Los Pueblos, desarrollador del Primer Proyecto Turistico Especial de Colombia en el eje cafetero.",captured,catalog
gsi-2026-08-364,805420,COOTRADECUN,08,01,364,BOGOTA D.C.,bogota,vis;no_vis;vivienda,4 Proyectos de vivienda: Rancho grande / Melgar Tolima (Condominio Campestre) - El Pedregal parque residencial / Fusagasugá Cundinamarca (Apartamentos NO VIS) - Arrayanes de peñalista ll / Ricaurte Cundinamarca (Apartamentos VIP y VIS) - Reservas de Guance / Pacho Cundinamarca (lotes urbanizados) Servicios de crédito y asociación,http://www.cootradecun.com,,,,captured,catalog
gsi-2026-ALB-53,823167,Pruebas Corferias,ALB,01,53,BOGOTA D.C.,bogota,,,http://www.corferias.com,,,,captured,catalog
gsi-2026-08-183B,824762,CORPORACIÓN UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO,08,01,183B,CHIA,otro,,Servicios de educación Profesional en las áreas del diseño al igual que educación continua (cursos diplomados asesorías),http://www.taller5.edu.co,,,,captured,catalog
gsi-2026-05-101,826850,CRV CONSTRUCCIONES Y URBANIZACIONES SAS,05,01,101,IBAGUE,otro,,,,,,,captured,catalog
gsi-2026-08-389,824993,CSB INMOBILIARIA,08,01,389,BOGOTA D.C.,bogota,vivienda;servicios,Viviendas que cumplen con Ecourbanismo,,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56163,,"Empresa dedicada a la estructuración, promoción, diseño y construcción de Proyectos Inmobiliarios",captured,catalog
gsi-2026-08-254A,805818,CUMBRERA S.A.S,08,01,254A,BOGOTA D.C.,bogota,,Proyectos inmobiliarios,,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=54817,,"CUMBRERA nace en julio de 1996 como una empresa de ingeniería dedicada al diseño, gerencia, construcción y comercialización de proyectos. Con más de 29 años de trayectoria, ha participado en más de 60 proyectos VIS, no VIS, industriales, de oficinas, comercio y urbanismo, aportando al desarrollo de Bogotá y zonas colindantes, así como a la generación de empleo y bienestar.",captured,catalog
gsi-2026-06-334,807465,CUSEZAR,06,01,334,BOGOTA D.C.,bogota,,,http://www.cusezar.com,,,,captured,catalog
gsi-2026-ALB-27,815777,CYPRES CASAS Y PREFABRICADOS,ALB,01,27,MEDELLIN,medellin,vivienda,CASAS PREFABRICADAS,http://www.casascypres.com,,,,captured,catalog
